,Dif10d,Dif14d,Dif18d,Dif21d,AveExpr,F,P.Value,adj.P.Val
FASN,0.13895417983993,0.577265604942324,0.632180484772839,0.758740780695743,-0.53543607858362,11.3381004895439,1.87178243851975e-05,0.00212722568895303
NAA20,0.195776426919592,0.384191464967071,0.836157529642148,0.664598211990656,-0.760886175495069,11.31771199585,1.89865920584719e-05,0.00213323341751249
NDUFA2,-0.0722730758306333,0.116529135668768,0.151101673632286,0.894779863246826,-0.298884345523051,11.315495791711,1.90160558841981e-05,0.00213323341751249
TRMT61A,-0.150280482917017,0.337151963173732,0.413885567537572,0.823724696656343,-0.17606853463136,11.2718381732093,1.96066097321492e-05,0.00218538288476032
CHMP5,-0.14672717757988,0.294214293042354,0.462454051824758,0.656770046580731,0.419598297803555,11.2104518259915,2.04705784213221e-05,0.00226714915662387
CAND1,0.183707652475974,0.734346359778615,0.477682669726881,0.790375727603331,-0.156515573974335,11.1801929030105,2.09114361583895e-05,0.00230131678431694
THAP11,-0.150569130444596,0.299848899017272,0.506558550170919,0.603220802769882,-0.259577257838057,11.1689607956252,2.10776714471158e-05,0.00230502233410346
HCCS,-0.111499313141868,0.69994480298519,0.651981454178992,0.79555448151465,-0.78771411280367,11.1425082613187,2.1474809654695e-05,0.00233377493922398
RPP38,0.094367372276544,-0.227271763319181,1.16579530779338,0.518893246465212,-1.39859232174645,11.0679239537919,2.26385227583571e-05,0.00244496045790257
TAF1C,-0.0477523971469291,0.412993067815002,0.851039185077498,0.578410234045217,-1.4358428615946,10.8742310488904,2.59893730005044e-05,0.00278518010848019
LONP1,0.0314491505130026,0.0181216713895517,0.89776569227151,0.850649884503669,-0.878595751804953,10.8678181819254,2.61090612883754e-05,0.00278518010848019
BRD2,0.11146306972178,0.535316884070905,0.181255281602492,0.756299035090842,0.351499340983773,10.8520594881627,2.64057028034195e-05,0.00279964853869426
SSR3,-0.165503568548812,-0.459147817492531,-0.562693696035173,-0.810691264779843,-0.303740536549511,10.807086219165,2.72723853537121e-05,0.00287401355472937
WDR26,0.0388706658934489,-0.530879247545564,-0.710247987324264,-0.656748526586733,-0.617437869859931,10.7981000589124,2.7449196721476e-05,0.00287522067827123
MED24,0.0777698429443223,0.640090774726254,0.603604399423436,1.0274508969783,-0.715722071193664,10.7874978393468,2.76593919207467e-05,0.00287988926178409
C1orf109,-0.0307083469168626,0.19511876878878,1.04686784003511,0.56338119691522,-0.802161256484091,10.757341539381,2.82667764230722e-05,0.00292561135978797
GAPDH,-0.145703133342949,0.47569264264825,1.1833118846112,1.03454777058115,-0.540837867963512,10.625923827207,3.10862072622375e-05,0.00319838444896914
LCMT1,-0.1232153504149,0.62729142773662,0.745171608387843,1.1727794483114,-0.029626786870297,10.6044720710944,3.15744620101864e-05,0.00322951026725365
B3GALT6,-0.0334032409735183,-0.136873118895051,-0.688023029283442,-0.744825014655345,-0.0826241224628218,10.5594450733081,3.2626327091687e-05,0.00331758231269154
KCTD10,0.142128645222488,0.241543938101752,0.664201082371846,0.81105030686514,-0.0641123527168992,10.4960694118141,3.41711495983412e-05,0.00341256764350074
NCSTN,0.0899245765675974,-0.482258257618046,-0.414385854116175,-0.730073082573611,-0.448325622803137,10.4947928172024,3.42030640972293e-05,0.00341256764350074
POFUT1,0.0421627205489195,-0.220693511025499,-0.258232633948179,-0.760436729216732,0.139057094409647,10.4930885047028,3.42457213757716e-05,0.00341256764350074
CFL1,-0.106709167364542,-0.320244707197132,-0.753497478134362,-0.776089482559249,-0.114270008419554,10.4891113794777,3.43454875553617e-05,0.00341256764350074
YARS2,0.165117689996633,0.146154199430491,0.358539349971221,0.953897451901381,-1.12923443605355,10.4225577834895,3.60621820541782e-05,0.00356277966794347
RTCB,-0.0357452097173177,-0.312664688287493,1.07710740399369,0.557609966589709,-0.823067256945483,10.4138483531351,3.629357376079e-05,0.00356538226300914
ABCB7,-0.170900038828581,0.376396991359749,1.00536077258547,-0.0193047829849033,-0.83567012288195,10.3790391637034,3.72344453948952e-05,0.00361529934788331
